日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門售電量(度),服務業部門用電佔比(%) ,機關用電售電量(度),機關用電用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),合計售電量(度),縣市用電佔比(%)
2019年06月,新北市,637591364,0.532,496414479,0.4142,62054282,0.0518,2478880,0.0021,1198539005,15.01339292
2019年06月,台北市,401785697,0.3241,701272928,0.5657,135996298,0.1097,673614,0.0005,1239728537,15.52934995
2019年06月,桃園市,382958627,0.4965,330617093,0.4286,53520023,0.0694,4233164,0.0055,771328907,9.661983386
2019年06月,台中市,465002941,0.4644,456988337,0.4564,64499116,0.0644,14838659,0.0148,1001329053,12.54305989
2019年06月,台南市,324441473,0.5083,236943693,0.3712,43508697,0.0682,33378295,0.0523,638272158,7.995259778
2019年06月,高雄市,421349592,0.4585,392465701,0.427,84694848,0.0922,20519920,0.0223,919030061,11.51214884
2019年06月,宜蘭縣,69780842,0.4964,52203344,0.3713,12207966,0.0868,6390732,0.0455,140582884,1.760999072
2019年06月,新竹縣,97657855,0.5381,70123100,0.3864,12146780,0.0669,1569052,0.0086,181496787,2.273503462
2019年06月,苗栗縣,73386177,0.5413,47460658,0.35,12079424,0.0891,2658900,0.0196,135585159,1.698395512
2019年06月,彰化縣,187889951,0.5038,120943704,0.3243,23281707,0.0624,40793887,0.1094,372909249,4.671214751
2019年06月,南投縣,76393802,0.5285,48171434,0.3332,11488288,0.0795,8505080,0.0588,144558604,1.810800577
2019年06月,雲林縣,109494154,0.521,52398204,0.2493,14583613,0.0694,33701638,0.1603,210177609,2.632771244
2019年06月,嘉義縣,70634317,0.5027,33399762,0.2377,12671903,0.0902,23804281,0.1694,140510263,1.760089392
2019年06月,屏東縣,131200505,0.4581,72507999,0.2532,19932493,0.0696,62775080,0.2192,286416077,3.587765676
2019年06月,台東縣,33418560,0.4892,25573631,0.3744,7313899,0.1071,2002184,0.0293,68308274,0.855657557
2019年06月,花蓮縣,52869853,0.4719,43558990,0.3888,13797162,0.1231,1812160,0.0162,112038165,1.403436172
2019年06月,基隆市,56792019,0.5651,36029823,0.3585,7667821,0.0763,16424,0.0002,100506087,1.258980616
2019年06月,新竹市,72315243,0.4045,83701014,0.4682,21891106,0.1225,860297,0.0048,178767660,2.239317294
2019年06月,嘉義市,42592736,0.4653,41774853,0.4564,6533890,0.0714,632704,0.0069,91534183,1.146594854
2019年06月,澎湖縣,13214867,0.4519,11079699,0.3789,4587334,0.1569,361839,0.0124,29243739,0.366319112
2019年06月,金門縣,7120883,0.3879,7056627,0.3844,4015288,0.2187,165684,0.009,18358482,0.229965902
2019年06月,連江縣,1334204,0.3411,1715391,0.4386,852747,0.218,8917,0.0023,3911259,0.04899404
2019年06月,合計,3729225662,0.4671,3362400464,0.4212,629324685,0.0788,262181391,0.0328,7983132202,100
2019年05月,新北市,585594307,0.5093,502269126,0.4369,59524040,0.0518,2361831,0.0021,1149749304,15.07766014
2019年05月,台北市,377632685,0.314,692711342,0.5761,131498715,0.1094,648946,0.0005,1202491688,15.76931678
2019年05月,桃園市,303473726,0.4561,306278743,0.4603,52176665,0.0784,3509102,0.0053,665438236,8.726468917
2019年05月,台中市,427987643,0.4426,461205670,0.477,63859625,0.066,13854184,0.0143,966907122,12.67989197
2019年05月,台南市,281981901,0.4885,220962002,0.3828,43817246,0.0759,30489923,0.0528,577251072,7.569994125
2019年05月,高雄市,469350775,0.4906,381029157,0.3983,85780917,0.0897,20484229,0.0214,956645078,12.54531688
