電廠名稱,電廠位址,緯度,經度,單機容量(kW),發電量(度),平均單位裝置容量每日發電量
大潭光電,桃園市觀音區大潭里電廠路1號,25.03115,121.0529,651.42,48022,2.46
中大光電,桃園市中壢區三民里,24.972137,121.200708,40.25,3850,3.19
中部儲運光電,臺中市后里區后里里,24.323175,120.726434,91.8,8030,2.92
新伯公光電,臺中市東勢區上城里,24.221311,120.842605,115.8,8695,2.5
卓蘭光電,苗栗縣卓蘭鎮老庄里,24.31509,120.83057,41.9,3438,2.74
台中電廠生水池,台中市龍井區,24.212951,120.490587,2123.04,221705,3.53
龍井光電,臺中市龍井區福田里,24.20905,120.49464,6485.94,680557,3.49
后里光電,臺中市后里區廣福里,24.296014,120.727262,91.125,2700,0.99
民雄光電,嘉義縣民雄鄉文隆村,23.539493,120.425713,60,2342,1.3
永安鹽灘光電,高雄市永安區鹽田里,22.838301,120.206682,4636.8,576892,4.15
興達電廠生水池,高雄市永安區興達路6號,22.85893,120.2006475,1627.65,193940,3.96
路北光電,高雄市路竹區後鄉里,22.83792,120.247142,60.03,6279,3.49
核三廠光電,屏東縣恆春鎮南灣里,21.95814,120.7518569,1458.24,169326,4.09
澎湖光電,澎湖縣湖西鄉尖山村,23.5636,119.659678,70.61,7979,3.77
七美光電I,澎湖縣七美鄉南港村,23.205850,119.442097,154.56,14055,3.03
金門光電,金門縣金沙鎮西園里,24.4993,118.40342,528,48875,3.09
七美光電II,澎湖縣七美鄉南港村,23.19373,119.42216,199.72,24703,4.12
龍潭光電,桃園市龍潭區,24.843098,121.187895,162,16896,3.48
竹工光電,新竹縣湖口鄉八德路三段135巷30號,24.890504,121.093135,228,25737,3.76
中科光電,台中市西屯區中科路2號,24.205976,120.619625,198,20953,3.53
彰林光電,彰化縣埤頭鄉,23.928664,120.454821,258,30159,3.9
七股光電,台南市七股區,23.096274,120.135854,1799.5,189176,3.5
高雄ES,高雄市永安區,22.858936,120.200559,379.76,45697,4.01
燕巢光電,高雄市燕巢區,22.760482,120.348182,497.76,55200,3.7
大潭GIS,桃園市觀音區大潭里,25.02966,121.0512583,710.04,83227,3.91
北儲光電,桃園市觀音區大潭里,25.026518,121.060315,907.68,94775,3.48
彰濱光電,彰化縣鹿港鎮崙尾區,24.107342,120.395931,99999.1,12693699,4.23
