電廠名稱,地址,連絡電話,傳真電話,機組名稱,商轉日期,裝置容量(瓩),燃料種類
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協一機,66.01.15,500000,重油
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協二機,66.12.22,500000,重油
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協三機,69.03.16,500000,重油
協和發電廠,20345 基隆市文化路80號,(02)24248111,(02)24260450,協四機,74.08.26,500000,重油
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複一機,95.08.17,742700,天然氣/輕柴油
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複二機,95.12.26,742700,天然氣/輕柴油
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複三機,96.11.12,724700,天然氣
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複四機,96.11.12,724700,天然氣
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複五機,97.07.03,724700,天然氣
大潭發電廠,32841桃園市觀音鄉大潭村電廠路1號,(03)4733777,(03)4737085,大潭複六機,98.1.14,724700,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複一機,72.03.28,258500,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複二機,72.03.30,258500,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複三機,72.03.31,246800,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複四機,81.03.22,386000,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複五機,81.05.01,386000,天然氣
通霄發電廠,35741苗栗縣通霄鎮海濱路1-31號,(037)752054,(037)755387,通霄複六機,89.05.30,321200,天然氣
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中一機,80.05.27,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中二機,80.08.25,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中三機,81.06.26,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中四機,81.10.04,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中五機,85.03.29,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中六機,85.05.04,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中七機,85.10.17,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中八機,86.06.27,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中九機,94.08.01,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,中十機,95.06.30,550000,煤
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#1,79.05.29,70000,輕柴油
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#2,79.05.30,70000,輕柴油
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#3,79.06.26,70000,輕柴油
台中發電廠,43401台中市龍井區龍昌路1號,(04)26302123,(04)26398971,GT#4,79.06.19,70000,輕柴油
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興一機,71.09.28,500000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興二機,72.07.31,500000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興三機,74.06.19,550000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興四機,75.04.07,550000,煤
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複一機,87.04.26,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複二機,87.05.26,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複三機,87.06.29,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複四機,87.08.31,445190,天然氣
興達發電廠,82842高雄市永安區興達路6號,(07)6912811,(07)6913849,興達複五機,88.01.16,445190,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複一機,84.09.12,288800,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複二機,84.11.28,288800,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複三機,85.09.17,288800,天然氣
南部發電廠,80661高雄市前鎮區成功二路5號,(07)3367801,(07)3316387,南部複四機,92.06.30,251400,天然氣
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大三機,61.12.12,375000,重油
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大四機,62.10.25,375000,重油
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大五機,64.10.16,500000,天然氣
大林發電廠,81263 高雄市小港區鳳森里大林路3號,(07)8711151,(07)8713760,大六機,83.09.11,550000,天然氣
尖山發電廠,88543 澎湖縣湖西鄉尖山村29之2號,(06)9920660,(06)9920670,尖一機,89.12.29,10443,重油
