電廠名稱,地區,地區編號(縣市),緯度,經度,群集,廠商,廠牌,裝置數(部),裝置容量(瓩),平均年發電量(萬度)
石門風力發電廠,新北市石門區,1,25.29278,121.58182,A,台電,Vestas,6,3960,959
林口風力發電廠,新北市林口區,1,25.12568,121.30502,B,台電,Vestas,3,6000,600
蘆竹風力發電廠,桃園市蘆竹區,2,25.11802,121.27651,B,台電,Enercon,8,7200,2100
觀威觀音風力發電廠,桃園市觀音區,2,25.06804,121.1129692,C,觀威,Enercon,21,48300,4370
觀園風力發電廠,桃園市觀音區,2,25.06804,121.11287,C,台電,GE,20,30000,1200
大潭風力發電廠,桃園市觀音區,2,25.02966,121.0511591,C,台電,GE,3,4500,1200
桃威新屋風力發電廠,桃園市觀音區,2,25.017279,121.041422,C,桃威,Enercon,2,4600,460
豐威新豐風力發電廠,新竹縣新豐鄉,3,24.92537,120.973342,D,豐威,Enercon,5,11500,1150
香山風力發電廠,新竹市香山區,3,24.73727,120.88355,E,台電,Gamesa,6,12000,334.2
崎威崎頂風力發電廠,苗栗縣竹南鎮,4,24.725255,120.869142,E,崎威,Enercon,3,6900,690
海洋竹南離岸風力發電廠,苗栗縣竹南鎮,4,24.6914,120.81191,E,海洋風力,Siemens,2,8000,800
苗栗竹南風力發電廠,苗栗縣竹南鎮,4,24.67581193,120.8314543,E,苗栗風力,Enercon,4,7800,780
龍威後龍風力發電廠,苗栗縣後龍鎮,4,24.61907,120.77518,F,龍威,Enercon,21,48300,4410
苗栗大鵬風力發電廠,苗栗縣後龍鎮,4,24.609508,120.731845,F,苗栗風力,Enercon,21,42000,420
東鋼龍港風力發電廠,苗栗縣後龍鎮,4,24.591583,120.720477,F,東和鋼鐵,Enercon,5,11500,1150
通威通苑風力發電廠,苗栗縣通霄鎮,4,24.49001,120.6735987,G,通威,Enercon,12,27600,2760
金沙風力發電廠,金門縣金沙鎮,10,24.48885,118.45033,H,台電,Vestas,2,4000,1100
安威大甲風力發電廠,臺中市大甲區,5,24.422263,120.613353,I,安威,Enercon,3,6900,690
中威大安大甲發電廠,臺中市大安區,5,24.39964,120.591103,I,中威,Enercon,36,82800,690
清風清水風力發電廠,臺中市清水區,5,24.320399,120.575511,J,清風風力,Enercon,1,2300,8280
臺中港風力發電廠,臺中市清水區,5,24.30443,120.54409,J,台電,Zephyros,18,36000,326
臺中電廠風力發電廠,臺中市龍井區,5,24.21333,120.487007,J,台電,Zephyros,4,8000,5824
彰工風力發電廠,彰化縣芳苑鄉,6,24.158222,120.441167,K,台電,Vestas,31,62000,13500
鹿威彰濱風力發電廠,彰化縣線西鄉,6,24.071308,120.408437,K,鹿威,Enercon,42,96600,9660
王功風力發電廠,彰化縣芳苑鄉,6,23.98403,120.3366,K,台電,Enercon,10,23000,5000
麥寮風力發電廠,雲林縣麥寮鄉,7,23.8167,120.2636,L,台電,Vestas,23,46000,12400
四湖風力發電廠,雲林縣四湖鄉,7,23.64618,120.14718,L,台電,Vestas,14,28000,7555
中屯風力發電廠,澎湖縣白沙鄉,9,23.6204,119.6058,M,台電,Enercon,1,4800,700
湖西風力發電廠,澎湖縣湖西鄉,9,23.58862,119.67402,M,台電,Enercon,6,5400,1876.5
恆春風力發電廠,屏東縣恆春鎮,8,21.95486,120.74372,N,台電,GE,3,4500,1160
